GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
0,0,0,0,0,0,-,-,蟹岛冰雪大世界
40.0011063108,116.3753531232,40.002495268,116.381586577,40.008778,116.388028,北京市朝阳区大屯路20号,-,国家动物博物馆
39.9093023273,116.5202703961,39.910483263,116.5262195358,39.916801,116.532584,北京市朝阳区兴隆西街9号,-,中国紫檀博物馆
0,0,0,0,0,0,-,-,中国铁道博物馆东郊馆
39.923538045,116.4377806571,39.9249204,116.4439926532,39.93065,116.450562,北京市朝阳区,-,北京民俗博物馆（东岳庙）
39.9059060542,116.5006902054,39.9071447768,116.5067144468,39.913393,116.513111,北京市朝阳区建国路58号,-,北京晋商博物馆
40.0151484847,116.5448652385,40.0162537378,116.5507285474,40.022145,116.557268,北京市朝阳区蟹岛路,-,北京蟹岛熊孩子儿童拓展乐园
0,0,0,0,0,0,-,-,爱乐城儿童乐园淘气堡
0,0,0,0,0,0,-,-,通州第五季龙水凤港生态农场
39.7071724085,116.6858992338,39.7083074289,116.6918322801,39.713979,116.698458,北京市通州区,-,花仙子万花园
0,0,0,0,0,0,-,-,丰瑞康洲亲子农场
0,0,0,0,0,0,-,-,大戚收音机电影机博物馆
39.8843767541,116.425872722,39.8857681492,116.4320954469,39.891663,116.438649,北京市东城区幸福大街44号,-,东城红剧场《功夫传奇》
39.9454482475,116.4070142834,39.9468507632,116.413258466,39.953084,116.419671,北京市东城区,-,孔庙和国子监博物馆
0,0,0,0,0,0,-,-,正阳门城楼
39.8982814643,116.3941093787,39.8996806842,116.4003481969,39.906022,116.406743,北京市东城区前门大街33-4号,-,中国铁道博物馆正阳门馆
39.9163774685,116.4260761555,39.9177723694,116.4323042448,39.923656,116.43883,北京市东城区禄米仓胡同31号,-,北京文博交流馆（智化寺)
39.944621174,116.4312453263,39.9460154638,116.4374787801,39.951899,116.443998,北京市东城区香河园街3号,-,北京自来水博物馆
39.9219613234,116.3655639847,39.9233354501,116.3717706164,39.929457,116.378235,北京市西城区羊肉胡同15号-北门,-,中国地质博物馆
39.9232477969,116.3612215574,39.9246054672,116.3674120958,39.930549,116.373938,北京市西城区阜成门内大街131号,-,历代帝王庙
39.9337188484,116.383109443,39.9351174555,116.3893428967,39.941463,116.395722,北京市西城区地安门西大街59号,-,郭沫若纪念馆
0,0,0,0,0,0,-,-,梅兰芳纪念馆
0,0,0,0,0,0,-,-,李大钊故居
0,0,0,0,0,0,-,-,古代建筑博物馆（先农坛）
0,0,0,0,0,0,-,-,湖广会馆
39.8720064477,116.3510491389,39.8733445233,116.3572128552,39.879139,116.363831,北京市西城区右安门内西街18号,-,古陶文明博物馆
39.9483304863,116.3733600964,39.9497204601,116.3795881857,39.955992,116.386005,北京市西城区德胜门桥,-,北京市古代钱币展览馆
39.9233257969,116.3572555574,39.9246834672,116.3634460958,39.930627,116.369972,北京市西城区白塔寺东夹道38号,-,西城白塔寺
0,0,0,0,0,0,-,-,中国佛教图书文物馆（法源寺）
40.0544510524,116.0733670037,40.055838992,116.0797023814,40.061584,116.086286,北京市海淀区,-,海淀鹫峰国家森林公园
39.9714174926,116.1966239755,39.9726878377,116.2027447765,39.978428,116.209339,北京市海淀区,-,海淀西山国家森林公园
40.0513057136,116.0997396208,40.0527059721,116.1060803628,40.05838,116.112682,北京市海淀区大觉寺路,-,西山大觉寺
39.9679334379,116.3318415168,39.9692368626,116.3379676822,39.974916,116.344611,北京市海淀区,-,大钟寺古钟博物馆
39.9436180788,116.3240010182,39.9449218846,116.3301271836,39.950594,116.336751,北京市海淀区,-,北京石刻艺术博物馆（五塔寺）
39.9832180185,116.2016591432,39.9844881778,116.2077799442,39.990231,116.214382,北京市海淀区香山南路,-,北京市团城演武厅管理处
39.9253315392,116.2477596673,39.9265493296,116.2537892732,39.932657,116.260242,北京市海淀区玉泉路2,-,北京龙徽葡萄酒博物馆
40.088234634,116.190077767,40.0895273695,116.1962414833,40.095418,116.202782,北京市海淀区,-,上庄水库吉雨农庄自助烧烤
39.9045605299,116.2381160691,39.9057786759,116.2441510394,39.911712,116.250679,北京市石景山区,-,石景山国际雕塑公园
39.9775762138,116.150399194,39.9789368042,116.1566594698,39.985281,116.163051,北京市石景山区,-,石景山慈善寺
39.8896536589,116.1799180947,39.8909584168,116.1860871754,39.897025,116.19256,北京市石景山区京原路55,-,石景山永定河休闲森林公园观光小火车
39.6580886114,116.5881281719,39.6591046747,116.593878828,39.664875,116.600477,北京市大兴区,-,北京呀路古热带植物园
0,0,0,0,0,0,-,-,北京航天科普教育基地冰雪乐园
40.1810374236,116.6863330293,40.1822095929,116.6923250842,40.187879,116.698953,北京市顺义区,-,北京航天科普教育基地水上乐园
0,0,0,0,0,0,-,-,北京航天科普教育基地滑草
39.5923953583,116.2428022882,39.5935735246,116.2487943431,39.599684,116.255253,北京市大兴区,-,北京航天科普教育基地
39.6912315186,116.4209235932,39.6926143777,116.4271302249,39.698679,116.433593,北京市大兴区羊坊后街,-,大兴泓文博雅艺术馆
0,0,0,0,0,0,-,-,大兴董陶窑陶瓷文化体验基地
0,0,0,0,0,0,-,-,蝴蝶来野艺术生态乐园
0,0,0,0,0,0,-,-,童星鱼乐四季恒温水陆游乐场
0,0,0,0,0,0,-,-,梦幻紫海香草园
0,0,0,0,0,0,-,-,古森林博物馆
39.6888297659,116.4304037244,39.6902043692,116.4366049915,39.696087,116.443121,北京市大兴区,-,北京爱情海玫瑰文化博览园
39.6979416477,116.3754855744,39.6993119245,116.3816814772,39.705581,116.388092,北京市大兴区桂郭路,-,大兴南路烧酒博物馆
0,0,0,0,0,0,-,-,趣玩儿儿童乐园
39.6932033677,116.5686495616,39.6942477384,116.5744270398,39.699899,116.581027,北京市大兴区,-,大兴留民营生态农场
39.6329149056,116.3168376983,39.6341708897,116.3229048551,39.639934,116.329532,北京市大兴区幸福路,-,大兴西瓜博物馆
39.6186856625,116.3434878144,39.6199955452,116.3496193442,39.625787,116.356236,北京市大兴区X038(庞安路),-,北京老宋瓜园
0,0,0,0,0,0,-,-,房山十渡乐佛山（千佛玉山）
39.8332239202,115.7153221003,39.8343979949,115.7215394608,39.84015,115.728135,北京市房山区X019(贾金路),-,房山圣莲山
39.7813133709,115.6267382864,39.7823357662,115.6327893499,39.788118,115.639381,北京市房山区,-,房山白草畔
39.7408134944,115.9102195093,39.741824109,115.916131098,39.748178,115.92254,北京市房山区车厂路,-,房山金祖山风景区
39.6081724679,115.7683816842,39.6093378959,115.774577587,39.615457,115.78105,北京市房山区,-,云居寺
39.687054729,115.9280159429,39.6880662229,115.9339275316,39.69431,115.940343,北京市房山区,-,周口店遗址博物馆
39.689040081,115.9264958952,39.6900555563,115.9324074839,39.696296,115.938822,北京市房山区周口店大街1号,-,周口店北京人遗址
0,0,0,0,0,0,-,-,月亮山风景区
39.6701975973,116.1402502323,39.6715478242,116.1464944149,39.677804,116.152888,北京市房山区X003(良常路),-,良乡花卉庄园
0,0,0,0,0,0,-,-,窦店金翠湖农庄自助烧烤/火锅
0,0,0,0,0,0,-,-,百花山
0,0,0,0,0,0,-,-,京西古道玻璃栈道
39.9649133927,116.0433469154,39.9662455993,116.0496179201,39.972497,116.056062,北京市门头沟区,-,京西古道
0,0,0,0,0,0,-,-,定都阁
39.8920085308,116.0211660698,39.8932597819,116.027340515,39.899548,116.033785,北京市门头沟区,-,八奇洞
0,0,0,0,0,0,-,-,龙门涧
40.1305653981,116.7229433249,40.13179175,116.7290212105,40.137916,116.735512,北京市顺义区,-,顺义河北村民俗文化体验园
39.9453899325,116.2129583022,39.9466279317,116.2190308234,39.952293,116.225626,北京市海淀区,-,北京尚谷冰雪乐园
0,0,0,0,0,0,-,-,尚谷奥普乐水世界
0,0,0,0,0,0,-,-,乐ZOO动物乐园
40.9426791273,116.5105673272,40.9443040639,116.5166881282,40.950645,116.523069,北京市怀柔区,-,怀柔喇叭沟原始森林
40.6185002525,116.6885833584,40.6198276558,116.6946290575,40.625505,116.701275,北京市怀柔区S310,-,云梦仙境
40.3632634642,116.5650848737,40.3643793796,116.5709481826,40.370045,116.577581,北京市怀柔区,-,北京圣泉山
40.4835131598,116.6572988358,40.4847086921,116.663242611,40.490808,116.66976,北京市怀柔区G111(京加路),-,怀柔石门山
40.3950937009,116.5789361027,40.3962091196,116.5847886828,40.401874,116.591396,北京市怀柔区,-,怀柔灵慧山
40.4429249758,116.4763418677,40.4443049418,116.4825109484,40.450226,116.489022,北京市怀柔区,-,怀柔摩崖石刻
40.2937313086,116.6956880801,40.2949384016,116.7017230504,40.300618,116.708342,北京市怀柔区,-,北京鹿世界主题公园
0,0,0,0,0,0,-,-,鹿世界亲子冰雪嘉年华
40.3248545564,116.6591465156,40.3259956736,116.6650741975,40.332088,116.671573,北京市怀柔区红星路1号,-,北京二锅头酒博物馆
40.4428002476,116.3251666433,40.4441842963,116.3313571817,40.449864,116.337999,北京市怀柔区S213(安四路),-,怀柔鳞龙山
40.4476425927,116.700119577,40.448895995,116.7061706405,40.454583,116.712813,北京市怀柔区,-,怀柔青龙湖
0,0,0,0,0,0,-,-,喜鹊登科满族风情园
40.4416962041,116.6561095403,40.4428761176,116.6620479511,40.448969,116.668551,北京市怀柔区,-,九谷口自然风景区
0,0,0,0,0,0,-,-,清凉谷自然风景区
40.6323145056,117.3558913535,40.6338737647,117.3625861472,40.640222,117.368983,北京市密云县,-,密云雾灵西峰
40.4875778869,116.7797690077,40.4888958274,116.7859219952,40.494972,116.792416,北京市密云县,-,密云云龙涧
40.5990820906,117.3769403351,40.6006542689,117.3836726797,40.606734,117.390186,北京市密云县,-,密云云岫谷游猎自然风景区
0,0,0,0,0,0,-,-,捧河湾风景区
40.6441914913,117.4905862585,40.6456731771,117.4971898571,40.651883,117.503579,北京市密云县,-,密云东极仙谷
40.5819707009,116.7040004061,40.5833111213,116.710094385,40.5891,116.716717,北京市怀柔区,-,云蒙山国家森林公园
0,0,0,0,0,0,-,-,九龙十八潭
40.6912468266,117.162709584,40.6928128188,117.1692863605,40.698468,117.17591,北京市密云县,-,蟠龙山长城
0,0,0,0,0,0,-,-,首云国家矿山公园（铁矿博物馆）
40.1759452592,117.3118858731,40.1772487712,117.3183768189,40.183034,117.324964,北京市平谷区,-,金海湖
0,0,0,0,0,0,-,-,天赐玫瑰庄园
40.2634891483,116.9762164372,40.2646722152,116.9823694247,40.270962,116.988815,北京市平谷区祈福路,-,平谷丫髻山
0,0,0,0,0,0,-,-,蝶语(北京)昆虫博览园
0,0,0,0,0,0,-,-,京东老泉山野公园
