GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
40.3571383972,116.000562765,40.3583812114,116.0067264813,40.364345,116.013297,北京市延庆县S216(京藏高速辅路),-,北京延庆县八达岭长城北侧
39.9330828104,116.4761865696,39.9343785797,116.4822912773,39.940293,116.488782,北京市朝阳区朝阳公园南路1,-,北京市朝阳公园南路1号
39.9311294722,116.4638360851,39.9324540361,116.4699729793,39.938206,116.476522,北京市朝阳区北四条2号楼,-,北京市朝阳区朝阳公园内1号楼
39.9858544405,116.4935282161,39.9870958262,116.4995631864,39.993351,116.505977,北京市朝阳区酒仙桥北路4号,-,北京市朝阳区798艺术区751D
40.0143952018,116.5544192007,40.0154799113,116.5602556875,40.021221,116.566852,北京市朝阳区,-,北京市朝阳区蟹岛路1号(机场辅路中段)
40.0020593108,116.3755201232,40.003448268,116.381753577,40.009731,116.388195,北京市朝阳区北辰西路1号院-5,-,朝阳区北辰西路1号院中国科学院动物研究所
39.9093023273,116.5202703961,39.910483263,116.5262195358,39.916801,116.532584,北京市朝阳区兴隆西街9号,-,北京市朝阳区建国路23号
39.987884227,116.5046170234,39.9890966616,116.5106144428,39.995434,116.517003,北京市朝阳区酒仙桥北路1号院,-,北京市朝阳区酒仙桥北路1号北侧
39.922666045,116.4379386571,39.9240484,116.4441506532,39.929778,116.45072,北京市朝阳区朝阳门外大街141号,-,北京市朝阳区朝阳门外大街141号
39.9059060542,116.5006902054,39.9071447768,116.5067144468,39.913393,116.513111,北京市朝阳区建国路58号,-,北京市朝阳区建国路58号1A
40.0119281865,116.5395113088,40.0130580919,116.5454068042,40.019127,116.551879,北京市朝阳区蟹岛西路,-,北京市朝阳区蟹岛路1号蟹岛度假村内
39.8364883999,116.4584791841,39.8378313749,116.4646321716,39.843489,116.471229,北京市朝阳区,-,北京朝阳区十八里店吕家营707号
39.7401366722,116.7108426872,39.7413122836,116.7168347421,39.7471,116.723452,北京市通州区,-,北京市通州区于家务乡大耕垡村
39.7161241626,116.7042739115,39.7172961589,116.710260602,39.723075,116.716854,北京市通州区于家务村五街64号,-,北京市通州区于家务乡国际种业园区
39.8295918135,116.7945819767,39.8307823663,116.8006276758,39.836515,116.807211,北京市通州区,-,北京市通州区西集镇沙古堆村甲308
39.9600027769,116.7189978551,39.9612075204,116.7250381898,39.96715,116.731584,北京市通州区徐宋东四街,-,北京市通州区宋庄镇小堡村环岛东500米赛格斯大厦
39.8843767541,116.425872722,39.8857681492,116.4320954469,39.891663,116.438649,北京市东城区幸福大街44号,-,北京市东城区幸福大街44号
39.9442782475,116.4068032834,39.9456807632,116.413047466,39.951914,116.41946,北京市东城区国子监街15号,-,北京市东城区国子监街15号
39.899193952,116.3916136741,39.9005890566,116.3978471279,39.906943,116.40424,北京市东城区前门东大街26号,-,东城区天安门广场南端正阳门城楼
39.8982884643,116.3940903787,39.8996876842,116.4003291969,39.906029,116.406724,北京市东城区前门大街33-4号,-,北京市东城区前门大街甲2号
39.9161314685,116.4260901555,39.9175263694,116.4323182448,39.92341,116.438844,北京市东城区禄米仓胡同5号,-,北京市东城区禄米仓胡同5号
39.945034174,116.4317453263,39.9464284638,116.4379787801,39.952312,116.444498,北京市东城区香河园街甲2号,-,北京市东城区东直门外香河园街3号
39.9219013234,116.3663979847,39.9232754501,116.3726046164,39.929397,116.379069,北京市西城区羊肉胡同8号,-,北京市西城区羊肉胡同15号北门
39.9232477969,116.3612215574,39.9246054672,116.3674120958,39.930549,116.373938,北京市西城区阜成门内大街131号,-,北京市西城区阜成门内大街131号
39.9329708484,116.383267443,39.9343694555,116.3895008967,39.940715,116.39588,北京市西城区前海西街16号,-,北京市西城区前海西街18号
39.9339859804,116.3732543881,39.935372247,116.379477113,39.941643,116.385886,北京市西城区护国寺街9号,-,北京市西城区护国寺街9号
39.9033505576,116.3597196044,39.9047086244,116.3659047784,39.910656,116.372449,北京市西城区文华胡同26号,-,北京市西城区文华胡同24号
39.876104652,116.3861341168,39.8775003671,116.3923622061,39.883859,116.398777,北京市西城区南纬路3-2号,-,北京市西城区东经路21号
39.8873226615,116.3776639729,39.8887058236,116.3838813334,39.894989,116.390324,北京市西城区虎坊路3号前,-,北京西城区虎坊路3号
39.8707304477,116.3474871389,39.8720685233,116.3536508552,39.877863,116.360269,北京市西城区南菜园街53,-,西城区右安门内西街18号(大观园公园北门旁边)
39.9002564643,116.3983243787,39.9016556842,116.4045631969,39.907997,116.410958,北京市东城区东交民巷36号,-,北京市西城区德胜门东大街9号
39.9233257969,116.3572555574,39.9246834672,116.3634460958,39.930627,116.369972,北京市西城区白塔寺东夹道38号,-,北京市西城区阜成门内大街171号
39.8829991055,116.3637853871,39.8843699181,116.3699866543,39.890504,116.376484,北京市西城区法源寺前街5号,-,北京市西城区法源寺前街7号
40.0544510524,116.0733670037,40.055838992,116.0797023814,40.061584,116.086286,北京市海淀区,-,北京市海淀区苏家坨镇秀峰寺路5号
39.9714174926,116.1966239755,39.9726878377,116.2027447765,39.978428,116.209339,北京市海淀区,-,北京市海淀区闵庄路与香山南路交叉口西行100米
40.0511017136,116.1002236208,40.0525019721,116.1065643628,40.058176,116.113166,北京市海淀区大觉寺路,-,北京市海淀区苏家坨镇大觉寺路9号
39.9679334379,116.3318415168,39.9692368626,116.3379676822,39.974916,116.344611,北京市海淀区,-,北京市海淀区北三环西路甲31号
39.9436420788,116.3242000182,39.9449458846,116.3303261836,39.950618,116.33695,北京市海淀区,-,北京市海淀区白石桥五塔寺村24号
39.9832180185,116.2016591432,39.9844881778,116.2077799442,39.990231,116.214382,北京市海淀区香山南路,-,北京市海淀区香山南路红旗村1号
39.9253315392,116.2477596673,39.9265493296,116.2537892732,39.932657,116.260242,北京市海淀区玉泉路2,-,北京市海淀区玉泉路2号
40.1035446757,116.1970366222,40.1048208081,116.2031735164,40.110564,116.209775,北京市海淀区南沙河西路,-,北京市海淀区南沙河西路上庄水库南岸
39.9031759637,116.2306758169,39.9044023403,116.2367268804,39.910172,116.243304,北京市石景山区鲁谷路临时39-13,-,石景山区石景山路2号
39.9775762138,116.150399194,39.9789368042,116.1566594698,39.985281,116.163051,北京市石景山区,-,北京市石景山区潭峪村五里坨天泰山
39.8881719207,116.1719191933,39.8894931424,116.1781150961,39.895723,116.184534,北京市石景山区,-,北京市石景山区京原路55号
39.6542756114,116.5890131719,39.6552916748,116.594763828,39.661062,116.601362,北京市大兴区,-,大兴区长子营镇104国道朱庄北口北行200米
39.5936335165,116.221461304,39.5948323522,116.2274909099,39.600499,116.234092,北京市大兴区左堤路,-,大兴区庞各庄镇赵村村
39.5936335165,116.221461304,39.5948323522,116.2274909099,39.600499,116.234092,北京市大兴区左堤路,-,大兴区庞各庄镇赵村村
39.5936335165,116.221461304,39.5948323522,116.2274909099,39.600499,116.234092,北京市大兴区左堤路,-,大兴区庞各庄镇赵村村
39.5936335165,116.221461304,39.5948323522,116.2274909099,39.600499,116.234092,北京市大兴区左堤路,-,大兴区庞各庄镇赵村村
39.6852237429,116.4226659764,39.6865944168,116.4288618792,39.69248,116.435384,北京市大兴区后查路,-,京市大兴区魏善庄镇羊坊村
39.790978634,116.2815528929,39.7921987332,116.2875717699,39.798539,116.293963,北京市大兴区,-,北京市大兴区芦花路临22号
39.6644803231,116.6756174442,39.6655912229,116.681518304,39.67135,116.68813,北京市大兴区,-,北京市大兴区采育镇东庄村小荒8号
39.6568773063,116.6362796014,39.6579181516,116.6420731729,39.664269,116.648492,北京市大兴区采辛路,-,北京大兴采育惠民农贸市场
39.4979990695,116.2915644557,39.4991704863,116.2975565106,39.505426,116.304014,北京市大兴区汇贤街,-,北京市大兴区榆垡镇汇贤街南
39.6852237429,116.4226659764,39.6865944168,116.4288618792,39.69248,116.435384,北京市大兴区后查路,-,北京市大兴区魏善庄镇羊坊村
39.6852237429,116.4226659764,39.6865944168,116.4288618792,39.69248,116.435384,北京市大兴区后查路,-,北京市大兴区魏善庄镇羊坊村
39.6975446477,116.3749735744,39.6989149245,116.3811694772,39.705184,116.38758,北京市大兴区桂郭路,-,北京市大兴区黄村镇桂村工业园富贵路3号
39.646631716,116.6331416271,39.6476685809,116.6389351986,39.654024,116.64536,北京市大兴区采林路,-,北京市大兴区采育镇采林路福源路路口
39.6932093677,116.5686495616,39.6942537384,116.5744270398,39.699905,116.581027,北京市大兴区,-,北京大兴区长子营镇留民营村
39.7889191051,116.3459310273,39.790250496,116.3520840148,39.796036,116.358673,北京市大兴区宏福东路7号,-,北京市大兴区庞各庄镇人民政府院内
39.6156710428,116.3479916178,39.6169769821,116.3541231476,39.622768,116.360732,北京市大兴区,-,北京市大兴区庞各庄镇南渠村
39.6365213478,115.564671087,39.6375335736,115.5707328794,39.643769,115.577167,北京市房山区,-,北京市房山区十渡镇西河村
39.8264627281,115.7302942642,39.827649334,115.7365223535,39.833315,115.743134,北京市房山区柳林水村中街17号,-,北京市房山区史家营乡柳林水村
39.7809323709,115.6242302863,39.7819547662,115.6302813498,39.787737,115.636873,北京市房山区,-,北京市房山区霞云岭乡四马台村
39.7325298289,115.9083681099,39.7335405901,115.9142796986,39.739891,115.920681,北京市房山区,-,北京市房山区周口店镇车厂村
39.551390556,115.8200571055,39.5524784042,115.8261403555,39.558543,115.832597,北京市房山区S318(房易路),-,北京市房山区大石窝镇
39.687054729,115.9280159429,39.6880662229,115.9339275316,39.69431,115.940343,北京市房山区,-,北京市房山区周口店大街1号
39.687054729,115.9280159429,39.6880662229,115.9339275316,39.69431,115.940343,北京市房山区,-,北京市房山区周口店大街1号
39.7931141352,115.9415201307,39.7941528697,115.947453177,39.800239,115.953936,北京市房山区,-,北京市房山区河北镇南车营村
39.6753905973,116.1333422324,39.6767408242,116.139586415,39.682997,116.14598,北京市房山区,-,北京市房山区良乡镇官道南庄子村
39.7931141352,115.9415201307,39.7941528697,115.947453177,39.800239,115.953936,北京市房山区,-,北京市房山区河北镇南车营村
39.8454901489,115.5530071887,39.8465446037,115.5591172608,39.85287,115.565498,北京市门头沟区X009,-,北京市门头沟区清水镇张家铺
39.9708866821,116.0476363203,39.9722186939,116.053907325,39.978474,116.060362,北京市门头沟区,-,门头沟区妙峰山镇水峪嘴村
39.9708866821,116.0476363203,39.9722186939,116.053907325,39.978474,116.060362,北京市门头沟区,-,门头沟区妙峰山镇水峪嘴村
39.877188816,116.0238623075,39.8784651348,116.0300635747,39.884839,116.036493,北京市门头沟区G108(京昆路),-,门头沟区潭柘寺镇
39.8920085308,116.0211660698,39.8932597819,116.027340515,39.899548,116.033785,北京市门头沟区,-,北京市门头沟区八奇洞
39.9418317007,115.6066889257,39.9428517149,115.6127453537,39.948514,115.619357,北京市门头沟区G109(京拉线),-,北京市门头沟区清水镇
40.1305653981,116.7229433249,40.13179175,116.7290212105,40.137916,116.735512,北京市顺义区,-,北京顺义区南彩镇河北村东路12号
40.2260644633,116.7739821426,40.227305574,116.7801029436,40.233382,116.786597,北京市顺义区蒋各庄中二街34号,-,北京市顺义区蒋各庄村
40.2260644633,116.7739821426,40.227305574,116.7801029436,40.233382,116.786597,北京市顺义区蒋各庄中二街34号,-,北京市顺义区蒋各庄村
40.167772696,116.548198943,40.1688878154,116.5540837096,40.174771,116.560595,北京市顺义区X014(火寺路),-,北京市顺义区高丽营镇南朗中村
40.9579553053,116.4833693067,40.9596567175,116.4895705739,40.965766,116.49603,北京市怀柔区,-,怀柔区喇叭沟门满族乡孙栅子村300号
40.621543948,116.680525093,40.6228550643,116.6865439699,40.628612,116.69316,北京市怀柔区,-,北京市怀柔区琉璃庙镇东峪村
40.3593544642,116.5669758737,40.3604703796,116.5728391826,40.366136,116.579472,北京市怀柔区,-,北京市怀柔区桥梓镇口头村
40.4834181598,116.6572738358,40.4846136921,116.663217611,40.490713,116.669735,北京市怀柔区G111(京加路),-,怀柔区怀北镇椴树岭村峪道河自然村1号
40.3831440892,116.5830147999,40.3842474144,116.5888566511,40.390016,116.595444,北京市怀柔区,-,怀柔区怀柔镇甘涧峪村
40.4137434463,116.4600384464,40.4151607886,116.4662665357,40.420817,116.472853,北京市怀柔区X009(怀黄路),-,北京市怀柔区渤海镇龙泉庄
40.2954803086,116.6929000801,40.2966874016,116.6989350504,40.302367,116.705554,北京市怀柔区北晨路,-,怀柔区杨宋镇安乐庄村北辰路9号
40.2954803086,116.6929000801,40.2966874016,116.6989350504,40.302367,116.705554,北京市怀柔区北晨路,-,北京市怀柔区杨宋镇安乐庄村北辰路9号
40.3248545564,116.6591465156,40.3259956736,116.6650741975,40.332088,116.671573,北京市怀柔区红星路1号,-,北京市怀柔区红星路1号
40.4296096516,116.3257566407,40.430989823,116.3319418147,40.436666,116.338578,北京市怀柔区,-,北京市怀柔区九渡河镇二道关村
40.4456175927,116.693004577,40.446870995,116.6990556405,40.452558,116.705698,北京市怀柔区,-,北京市怀柔区怀北镇大水峪村
40.8646795257,116.6539446641,40.8661279178,116.6599367189,40.872219,116.666437,北京市怀柔区,-,北京市怀柔区喇叭沟门乡对角沟门村委会东100米
40.4416962041,116.6561095403,40.4428761176,116.6620479511,40.448969,116.668551,北京市怀柔区,-,北京市怀柔区怀北镇河防口村548号
40.6291688052,116.7713496822,40.6305733614,116.7775241274,40.636806,116.78394,北京市密云县S310,-,北京市密云区石城镇贾峪村
40.6323145056,117.3558913535,40.6338737647,117.3625861472,40.640222,117.368983,北京市密云县,-,北京市密云县新城子镇沙滩村雾灵西峰风景区
40.4790222803,116.8025772681,40.4802994181,116.8086927047,40.48596,116.815326,北京市密云县北白岩正街306号,-,北京市密云县溪翁庄镇北白岩村
40.6317248293,117.3751013017,40.6333125863,117.3818390107,40.639386,117.388325,北京市密云县Y253,-,北京市密云县新城子镇遥桥峪村南
40.6133790042,116.8076467446,40.614726968,116.8137782744,40.620383,116.820405,北京市密云县横捧路,-,北京市密云区石城镇捧河湾风景区
40.6488378056,117.4792341949,40.6503518287,117.4858753444,40.656668,117.492228,北京市密云县Y251,-,北京市密云区新城子镇花园村
40.5819707009,116.7040004061,40.5833111213,116.710094385,40.5891,116.716717,北京市怀柔区,-,北京市密云区琉璃庙镇云蒙山森林公园
40.575970536,117.2492675761,40.5773559795,117.2557263354,40.583595,117.262166,北京市密云县,-,北京市密云区太师屯镇石岩井村
40.6551844897,117.2389054314,40.6566211845,117.2453749195,40.662952,117.251747,北京市密云县沙岭大街58号,-,北京市密云区古北口镇北口村
40.3645602241,117.0032564842,40.3658600798,117.0095596754,40.372121,117.016032,北京市密云县矿区路,-,密云巨各庄镇豆各庄村矿山公园
40.1792986409,117.2947191888,40.1805896654,117.301188677,40.186269,117.307811,北京市平谷区韩海路,-,北京市平谷区金海湖镇上宅村南金海湖风景区
40.1874119343,117.1544492775,40.1887931247,117.1609724098,40.194516,117.167545,北京市平谷区,-,北京市平谷区山东庄镇政府东1000米
40.2390052886,117.0155861351,40.2403033604,117.0219161484,40.246403,117.028447,北京市平谷区银店大街15号,-,北京市平谷区刘家店
40.0738809767,116.978267549,40.075042729,116.9843990788,40.081328,116.990835,北京市平谷区东撞路,-,北京市平谷区马坊镇东撞村东撞路
40.2998256976,117.1228610737,40.3012699011,117.1294378501,40.307493,117.135848,北京市平谷区,-,北京市平谷区熊儿寨乡老泉口村
